Location,Stadium,Capacity
Vitoria-Gasteiz,Mendizorroza,19840
Almería,Power Horse Stadium,15000
London (Holloway),Emirates Stadium,"60,704"
Birmingham,Villa Park,"42,640"
Bergamo,Stadio Atleti Azzurri d'Italia,15222
Bilbao,San Mamés,53289
Madrid,Cívitas Metropolitano,70460
Augsburg,WWK Arena,30660
Barcelona,Estadi Olímpic Lluís Companys,49472
Munich,Allianz Arena,75000
Seville,Benito Villamarín,60721
Bochum,Vonovia Ruhrstadion,27599
Bologna,Stadio Renato Dall'Ara,36532
Bournemouth,Vitality Stadium,"11,307"
London (Brentford),Gtech Community Stadium,"17,250"
Brest,Stade Francis-Le Blé,15931
Brighton,American Express Stadium,"31,876"
Burnley,Turf Moor,"21,944"
Cádiz,Nuevo Mirandilla,20724
Cagliari,Unipol Domus,16412
Vigo,ABANCA Balaídos,29000
London (Fulham),Stamford Bridge,"40,173"
Clermont-Ferrand,Stade Gabriel Montpied,11980
London (Selhurst),Selhurst Park,"25,486"
Darmstadt,Merck-Stadion am Böllenfalltor,17650
Dortmund,Signal Iduna Park,81365
Frankfurt,Deutsche Bank Park,58000
Empoli,Stadio Carlo Castellani,16167
Liverpool (Walton),Goodison Park,"39,414"
Florence,Stadio Artemio Franchi,43118
Freiburg im Breisgau,Europa-Park Stadion,34700
Frosinone,Stadio Benito Stirpe,16227
London (Fulham),Craven Cottage,"24,500"
Genoa,Stadio Luigi Ferraris,33205
Getafe,Coliseum,16500
Girona,Montilivi,13400
Granada,Nuevo Los Cármenes,19189
Heidenheim,Voith-Arena,15000
Verona,Stadio Marcantonio Bentegodi,31713
Sinsheim,PreZero Arena,30150
Milan,San Siro,75710
Turin,Juventus Stadium,41507
Cologne,RheinEnergieStadion,49698
Las Palmas,Gran Canaria,31250
Rome,Stadio Olimpico,67585
Le Havre,Stade Océane,25178
Lecce,Stadio Via del mare,30354
Lens,Stade Bollaert-Delelis,37705
Leverkusen,BayArena,30210
Lille,Decathlon Arena Pierre Mauroy Stadium,50186
Liverpool (Anfield),Anfield,"61,276"
Lorient,Stade du Moustoir,18890
Luton,Kenilworth Road,"11,500"
Lyon,Groupama Stadium,59186
Mainz,Mewa Arena,33305
Palma,Mallorca Son Moix,23142
Manchester (Bradford),Etihad Stadium,"53,400"
Manchester (Old Trafford),Old Trafford,"74,031"
Marseille,Orange Vélodrome,67394
Longeville-lès-Metz,Stade Saint-Symphorien,28786
Mönchengladbach,Borussia-Park,54057
Milan,San Siro,75710
Monaco,Stade Louis II,18523
Montpellier,Stade de la Mosson,32900
Monza,Stadio Brianteo,15039
Nantes,Stade de la Beaujoire,35322
Naples,Stadio Diego Armando Maradona,54732
Newcastle upon Tyne,St James' Park,"52,257"
Nice,Allianz Riviera,35624
West Bridgford,City Ground,"30,404"
Pamplona,El Sadar,23576
Paris,Parc des Princes,48583
Madrid,Vallecas,14708
Leipzig,Red Bull Arena,47069
Madrid,Santiago Bernabéu,83186
San Sebastián,Reale Arena,39500
Reims,Stade Auguste Delaune,21684
Rennes,Roazhon Park,29778
Rome,Stadio Olimpico,67585
Salerno,Stadio Arechi,29739
Sassuolo,Mapei Stadium – Città del Tricolore,21515
Seville,Ramón Sánchez-Pizjuán,43883
Sheffield,Bramall Lane,"32,050"
Strasbourg,Stade de la Meinau,29230
Stuttgart,MHPArena,60449
Turin,Stadio Olimpico Grande Torino,28177
London (Tottenham),Tottenham Hotspur Stadium,"62,850"
Toulouse,Stadium Municipal,33150
Udine,Stadio Friuli,25155
Berlin,Stadion An der Alten Försterei,22012
Valencia,Mestalla,49430
Villarreal,Estadio de la Cerámica,23008
Bremen,Wohninvest Weserstadion,42100
London (Stratford),London Stadium,"62,500"
Wolfsburg,Volkswagen Arena,30000
Wolverhampton,Molineux Stadium,"31,750"
