Player,Position,TeamId,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,CountryCode,Age
Abdel Abqar,DF,1,14,14,"1,254",13.9,0,0,0,0,0,0,5,0,0.3,0.3,0,0.3,2,29,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,MA,24
Abderrahman Rebbach,"FW,MF",1,16,6,582,6.5,1,0,1,1,0,0,1,0,0.7,0.7,1.4,2.2,25,13,55,0.15,0,0.15,0.15,0.15,0.12,0.22,0.33,0.12,0.33,DZ,25
Aleksandar Sedlar,DF,1,11,11,946,10.5,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.3,6,26,1,0.1,0,0.1,0.1,0.1,0.03,0.01,0.03,0.03,0.03,RS,26
Alex Sola,"FW,MF",1,17,7,666,7.4,0,0,0,0,0,0,1,0,1,1,1,2,25,19,51,0,0,0,0,0,0.13,0.14,0.27,0.13,0.27,ES,24
Ander Guevara,MF,1,21,21,"1,839",20.4,1,0,1,1,0,0,6,0,0.6,0.6,0.7,1.3,41,130,25,0.05,0,0.05,0.05,0.05,0.03,0.04,0.07,0.03,0.07,ES,26
Andoni Gorosabel,DF,1,22,21,"1,867",20.7,0,0,0,0,0,0,5,0,0.4,0.4,0.8,1.2,43,80,78,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,ES,27
Antonio Blanco,MF,1,20,16,"1,335",14.8,0,0,0,0,0,0,0,1,0.7,0.7,0.6,1.3,12,73,12,0,0,0,0,0,0.05,0.04,0.08,0.05,0.08,ES,23
Antonio Sivera,GK,1,22,22,"1,980",22,0,0,0,0,0,0,2,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,ES,27
Carlos Benavídez,MF,1,16,4,524,5.8,0,1,1,0,0,0,2,0,0.3,0.3,0.1,0.4,6,26,2,0,0.17,0.17,0,0.17,0.05,0.02,0.07,0.05,0.07,UY,25
Carlos Vicente,"FW,MF",1,4,3,286,3.2,0,2,2,0,0,0,0,0,0.4,0.4,0.9,1.3,4,4,22,0,0.63,0.63,0,0.63,0.12,0.29,0.42,0.12,0.42,ES,24
Giuliano Simeone,"FW,MF",1,3,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,AR,21
Ianis Hagi,"MF,FW",1,14,6,555,6.2,0,1,1,0,0,1,2,0,2.6,1.8,1.3,3.1,9,25,41,0,0.16,0.16,0,0.16,0.42,0.21,0.63,0.29,0.5,RO,25
Javi López,"DF,MF",1,18,12,"1,261",14,0,3,3,0,0,0,2,0,0.3,0.3,2.3,2.7,40,56,67,0,0.21,0.21,0,0.21,0.02,0.17,0.19,0.02,0.19,ES,22
Jon Guridi,"MF,FW",1,21,20,"1,577",17.5,0,4,4,0,0,0,1,0,1.6,1.6,2.3,3.9,19,83,57,0,0.23,0.23,0,0.23,0.09,0.13,0.22,0.09,0.22,ES,28
Jon Karrikaburu,"MF,FW",1,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ES,21
Kiké,FW,1,21,10,919,10.2,3,0,3,3,0,1,3,0,5.5,4.7,1.3,6,13,18,71,0.29,0,0.29,0.29,0.29,0.54,0.13,0.67,0.46,0.59,ES,34
Luis Rioja,"FW,MF",1,22,21,"1,741",19.3,4,3,7,1,3,3,3,0,4.6,2.3,2.9,5.2,55,55,129,0.21,0.16,0.36,0.05,0.21,0.24,0.15,0.39,0.12,0.27,ES,30
Mamadou Sylla,"FW,MF",1,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,SN,29
Miguel,"FW,MF",1,3,1,65,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,0,3,0,0,0,0,0,0.13,0,0.13,0.13,0.13,ES,24
Nahuel Tenaglia,DF,1,13,4,401,4.5,1,0,1,1,0,0,2,0,0.5,0.5,0.1,0.5,5,8,7,0.22,0,0.22,0.22,0.22,0.1,0.02,0.12,0.1,0.12,AR,27
Rafa Marín,DF,1,19,15,"1,357",15.1,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.5,7,42,4,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,ES,21
